,Notation,Name
191,"18:2-delta-9c,11c","9,11-Octadecadienoic acid, (9Z,11Z)-; 9,11-Octadecadienoic acid, (Z,Z)-; (9Z,11Z)-9,11-Octadecadienoic acid; 9-cis,11-cis-Linoleic acid; 9-cis-11-cis-Octadecadienoic acid; cis-9,cis-11-..."
192,"18:2-delta-9c,12c","9,12-Octadecadienoic acid, (9Z,12Z)-; Linoleic acid; 9,12-Octadecadienoic acid (Z,Z)-; Linoleic acid; (9Z,12Z)-9,12-Octadecadienoic acid; (Z,Z)-9,12-Octadecadienoic acid; 9,12-Octadecad..."
193,"18:2-delta-9c,12t","9,12-Octadecadienoic acid, (9E,12Z)-; 9,12-Octadecadienoic acid, (Z,E)-; (9E,12Z)-9,12-Octadecadienoic acid; 9-trans,12-cis-Octadecadienoic acid; 9-trans-12-cis-Linoleic acid; trans-9-c..."
194,"18:2-delta-9t,11t","9,11-Octadecadienoic acid, (9E,11E)-; 9,11-Octadecadienoic acid, (E,E)-; Isolinoleic acid; (9E,11E)-9,11-Octadecadienoic acid; 9,11-Isolinoleic acid; 9-trans,11-trans-Linoleic acid; 9-..."
195,"18:2-delta-9t,12t","9,12-Octadecadienoic acid, (9E,12E)-; 9,12-Octadecadienoic acid, (E,E)-; Linolelaidic acid; 9-trans-12-trans-Linoleic acid; 9-trans-12-trans-Octadecadienoic acid; Linelaidic acid; Linoe..."
196,"18:2-delta-10t,12t","10,12-Octadecadienoic acid, (10E,12E)-; 10,12-Octadecadienoic acid, (E,E)-; (10E,12E)-10,12-Octadecadienoic acid; 10-trans,12-trans-Linoleic acid; 10-trans-12-trans-Octadecadienoic acid; ..."
197,"18:2-delta-11c,14c","11,14-Octadecadienoic acid, (11Z,14Z)-; 11,14-Octadecadienoic acid, (Z,Z)-; cis,cis-11,14-Octadecadienoic acid; cis-11,cis-14-Octadecadienoic acid"
198,18:1cy,"2-Cyclopentene-1-tridecanoic acid, (1S)-; Chaulmoogric acid; 2-Cyclopentene-1-tridecanoic acid, (S)-; Chaulmoogric acid"
199,"8,9-cpe-18:1","1-Cyclopropene-1-heptanoic acid, 2-octyl-; Malvalic acid; Halphen acid; Malvalic acid; Malvic acid"
200,"18:2-delta-5c,11c","5,11-Octadecadienoic acid, (5Z,11Z)-; 5,11-Octadecadienoic acid, (Z,Z)-; Ephedrenic acid; cis-5,cis-11-Octadecadienoic acid"
201,"18:2-delta-3t,9c","3,9-Octadecadienoic acid, (E,Z)-; trans-3,cis-9-Octadecadienoic acid"
202,"18:2-delta-9c,11t","9,11-Octadecadienoic acid, (9E,11Z)-; 9,11-Octadecadienoic acid, (Z,E)-; (9E,11Z)-9,11-Octadecadienoic acid; 9-trans,11-cis-Linoleic acid; 9-trans,11-cis-Octadecadienoic acid; 9E,11Z-Oc..."
203,"18:2-delta-6c,9c","6,9-Octadecadienoic acid, (6Z,9Z)-; 6,9-Octadecadienoic acid, (Z,Z)-; (Z,Z)-6,9-Octadecadienoic acid; C18:2w9; cis,cis-6,9-Octadecadienoic acid; cis-6,cis-9-Octadecadienoic acid"
204,"18:2-delta-7,10","7,10-Octadecadienoic acid; structure ambiguous: octadeca-7,10-dienoic acid"
205,"18:2-delta-12,15","12,15-Octadecadienoic acid; structure ambiguous; octadeca-12,15-dienoic acid"
206,"18:2-delta-14,17","14,17-Octadecadienoic acid; structure ambiguous; octadeca-14,17-dienoic acid"
207,"18:2-delta-8,11","8,11-Octadecadienoic acid; structure ambiguous; C18:2n-7,10; 8,11-OCTADECADIENOIC ACID;(8E,11E)-; octadeca-8,11-dienoic acid"
208,"18:2-delta-10,13","10,13-Octadecadienoic acid; structure ambiguous; 10,13-Octadecadienoic acid; CTK0E4891; CTK1E5879; OCTADECA-10,13-DIENOIC ACID"
209,"18:2-delta-10t,12c","10,12-Octadecadienoic acid, (10E,12Z)-"
210,"18:2-delta-13,16","13,16-Octadecadienoic acid"
211,"18:2-delta-6,11","6,11-Octadecadienoic acid; structure ambiguous: double bond configuration not specified"
212,"18:2-delta-10c,12t","10,12-Octadecadienoic acid, (10Z,12E)-"
213,"18:2-delta-10,15","10,15-Octadecadienoic acid; structure ambiguous: double bond configuration not specified"
214,"18:2-delta-9,13","9,13-Octadecadienoic acid; structure ambiguous: double bond configuration not specified"
215,"18:2-delta-11,13","11,13-Octadecadienoic acid; structure ambiguous: double bond configuration not specified"
216,"18:2-delta-9,15","9,15-Octadecadienoic acid; structure ambiguous: double bond configuration not specified"
217,18:1,Octadecenoic acid; structure ambiguous
218,18:1-delta-16,16-Octadecenoic acid; structure ambiguous: double bond configuration not specified
219,18:1-delta-4,4-Octadecenoic acid; structure ambiguous: double bond configuration not specified; 4-octadecenoic acid;4-octadecylenic acid;C18:1n-14;21735-78-4;4-Octadecenoicacid;(E)-...
220,18:1-delta-11,15-Octadecenoic acid; structure ambiguous: double bond configuration not specified
221,18:1-delta-15,11-Octadecenoic acid; structure ambiguous: double bond configuration not specified
222,,Cyclopentanetridecanoic acid; dihydrochaulmoograte
223,18:1-delta-5c,"5-Octadecenoic acid, (5Z)-; 5-Octadecenoic acid, (Z)-; (Z)-5-Octadecenoic acid; cis-5-Octadecenoic acid; -delta-5,6-Octadecenoic acid; -delta-5-cis-Octadecenoic acid"
224,18:1-delta-5t,"5-Octadecenoic acid, (5E)-; Thalictric acid; 5-Octadecenoic acid, (E)-; (E)-5-Octadecenoic acid; Thalictric acid; trans-5-Octadecenoic acid; trans--delta-5-Octadecenoic acid; ..."
225,18:1-delta-6t,"6-Octadecenoic acid, (6E)-; Petroselaidic acid; 6-Octadecenoic acid, (E)-; Petroselaidic acid; (E)-6-Octadecenoic acid; 6-trans-Octadecenoic acid; trans-6-Octadecenoic acid; t..."
226,18:1-delta-9c,"9-Octadecenoic acid, (9Z)-; Oleic acid; Oleic acid; 9-Octadecenoic acid (Z)-; 9-Octadecenoic acid, (Z)-; 9-cis-Octadecenoic acid; 9Z-Octadecenoic acid; B 115; C18:1; Z-9-Oct..."
227,18:1-delta-9t,"9-Octadecenoic acid, (9E)-; Elaidic acid; 9-Octadecenoic acid, (E)-; Elaidic acid; (9E)-Octadecenoic acid; (E)-9-Octadecenoic acid; (E)-Oleic acid; 9-trans-Octadecenoic acid; ..."
228,18:1-delta-11c,"11-Octadecenoic acid, (11Z)-; Asclepic acid; cis-Vaccenic acid; 11-Octadecenoic acid, (Z)-; 11-Octadecenoic acid, cis-; (Z)-11-Octadecenoic acid; (Z)-Octadec-11-enoic acid; 11-c..."
229,18:1-delta-11t,"11-Octadecenoic acid, (11E)-; Vaccenic acid; 11-Octadecenoic acid, (E)-, Vaccenic acid, (11E)-11-Octadecenoic acid, (E)-11-Octadecenoic acid, (E)-Octadec-11-enoic acid,  11(E)-O..."
230,18:1-delta-13c,"13-Octadecenoic acid, (13Z)-; 13-Octadecenoic acid, (Z)-; (Z)-13-Octadecenoic acid; 13(Z)-Octadecenoic acid; cis-13-Octadecenoic acid; -delta-13-cis-Octadecenoic acid"
231,"8,9-cpa-18:0","Cyclopropaneheptanoic acid, 2-octyl-; Dihydromalvalic acid; Dihydromalvalic acid"
232,18:1-delta-3t,"3-Octadecenoic acid, (3E)-; 3-Octadecenoic acid, (E)-; (E)-3-Octadecenoic acid; trans-3-Octadecenoic acid"
233,18:1-delta-7c,"7-Octadecenoic acid, (7Z)-; 7-Octadecenoic acid, (Z)-; 7-Octadecenoic acid, cis-; (7Z)-7-Octadecenoic acid; (Z)-7-Octadecenoic acid; cis-7-Octadecenoic acid; Δ7-cis-Octadecen..."
234,18:1-delta-8c,"8-Octadecenoic acid, (8Z)-; 8-Octadecenoic acid, (Z)-; C18:1-omega-10c; cis-8-Octadecenoic acid; -delta-8-cis-Octadecenoic acid"
235,18:1-delta-12c,"12-Octadecenoic acid, (12Z)-; 12-Octadecenoic acid, (Z)-; 12-Octadecenoic acid, cis-; (Z)-12-Octadecenoic acid; 12Z-Octadecenoic acid; cis-12-Octadecenoic acid; -delta-12-cis-Oc..."
236,18:1-delta-6c,"6-Octadecenoic acid, (6Z)-; Petroselinic acid; Petroselinic acid, 6-Octadecenoic acid, (Z)-, (6Z)-6-Octadecenoic acid, (6Z)-Octadecenoic acid, (Z)-6-Octadecenoic acid,  6(Z)-O..."
237,18:1-delta-10,10-Octadecenoic acid; structure ambiguous; octadec-10-enoic acid
238,18:0,Octadecanoic acid; Stearic acid; Stearic acid; n-Octadecanoic acid
239,i-18:0,"Heptadecanoic acid, 16-methyl-; 16-Methylheptadecanoic acid; Emersol 873; Isooctadecanoic acid; Isostearic acid; Prisorine 3509; i18:0"
240,10-Me-17:0,"Heptadecanoic acid, 10-methyl-; structure ambiguous: double bond configuration not specified"
241,"8-O=18:3-delta-9a,11a,17","17-Octadecene-9,11-diynoic acid, 8-oxo-; Ketoisanic acid"
242,"8-OH-18:4-delta-9a,11a,13t,17","13,17-Octadecadiene-9,11-diynoic acid, 8-hydroxy-, (E)-"
243,13-Ph-13:1-cis9,"9-​Tridecenoic acid, 13-​phenyl-​, (9Z)​-; 13-Phenyltridec-9-enoic"
244,"4-O=18:4-delta-9c,11t,13t,15c","9,11,13,15-Octadecatetraenoic acid, 4-oxo-, (Z,E,E,Z)- (8CI); 4-Oxooctadeca-cis-9,trans-11,trans-13,cis-15-tetraenoic acid"
245,"8-OH-18:3-delta-9a,11a,17","17-Octadecene-9,11-diynoic acid, 8-hydroxy-; Isanolic acid; Isanolic acid"
246,"8-O=18:2-delta-9a,11a","9,11-Octadecadiynoic acid, 8-oxo-"
247,"8-OH-18:3-delta-9a,11a,13t","13-Octadecene-9,11-diynoic acid, 8-hydroxy-, (E)-"
248,"8,9-cpe-19:2-delta-17a","1-Cyclopropene-1-heptanoic acid, 2-(8-nonyn-1-yl)-; Sterculynic acid; 1-Cyclopropene-1-heptanoic acid, 2-(8-nonynyl)-; Sterculynic acid"
249,13-Ph-13:0,13-Phenyltridecanoic acid
250,"4-O=18:3-delta-9c,11t,13t","9,11,13-Octadecatrienoic acid, 4-oxo-, (9Z,11E,13E)-; Licanic acid; Licanic acid; 4-Oxo-9,11,13-octadecatrienoic acid; Couepic acid"
251,"8-OH-18:2-delta-10a,12a","10,12-Octadecadiynoic acid, 8-hydroxy-"
252,"8-OH-18:2-delta-9a,11a","10,12-Octadecadiynoic acid, 8-hydroxy-"
253,"15,16-O-18:2-delta-9c,12c","9,12-Tetradecadienoic acid, 14-(3-ethyl-2-oxiranyl)-, (9Z,12Z)-; 9,12-Octadecadienoic acid, 15,16-epoxy-; 9,12-Octadecadienoic acid, 15,16-epoxy-, (Z,Z)-; 9,12-Tetradecadienoic acid, 14-(3-ethyloxiranyl)-"
254,"8-OH-18:2-delta-9a,11t","11-Octadecen-9-ynoic acid, 8-hydroxy-, (11E)-; Agonandric acid; 11-Octadecen-9-ynoic acid, 8-hydroxy-, (E)-; Agonandric acid"
255,"S-9-OH-18:2-delta-10t,12a","10-Octadecen-12-ynoic acid, 9-hydroxy-, (9S,10E)-; 10-Octadecen-12-ynoic acid, 9-hydroxy-, (E)-(R)-; 10-Octadecen-12-ynoic acid, 9-hydroxy-, [S-(E)]-; Helenynolic acid"
256,"18-OH-18:3-delta-9c,11t,13t","9,11,13-Octadecatrienoic acid, 18-hydroxy-, (9Z,11E,13E)-; Kamlolenic acid; Kamlolenic acid; Camlolenic acid"
257,"2-OH-18:3-delta-9c,12c,15c","9,12,15-Octadecatrienoic acid, 2-hydroxy-, (9Z,12Z,15Z)-; 9,12,15-Octadecatrienoic acid, 2-hydroxy-, (Z,Z,Z)-; Linolenic acid, 2-hydroxy-; 2-Hydroxylinolenic acid; -alpha--Hydroxy -alpha--linolenic acid; -..."
258,"9,10-O-18:2-delta-3t,12c","3,12-Octadecadienoic acid, 9,10-epoxy-, (3E,12Z)-; cis-9,10-Epoxy-trans-3,cis-12-octadecadienoic acid"
259,"12,13-O-18:2-delta-6c,9c","6,9-Undecadienoic acid, 11-[(2R,3S)-3-pentyl-2-oxiranyl]-, (6Z,9Z)-rel-; 6,9-Undecadienoic acid, 11-(3-pentyloxiranyl)-, [2-alpha-(6Z,9Z),3-alpha-]-; 6,9-Undecadienoic acid, 11-[(2R,3S)-3-pentyloxiranyl]-, (6Z,9Z)-rel-"
260,"12,13-O-18:2-delta-6t,9c","6,9-Undecadienoic acid, 11-[(2R,3S)-3-pentyl-2-oxiranyl]-, (6E,9Z)-rel-; 6,9-Undecadienoic acid, 11-(3-pentyloxiranyl)-, [2-alpha-(6E,9Z),3-alpha-]-; 6,9-Undecadienoic acid, 11-(3-pentyloxiranyl)-, [2-alpha-(6E,9Z),3-alp..."
261,"9,10-cpe-19:1","1-Cyclopropene-1-octanoic acid, 2-octyl-; Sterculic acid; Sterculic acid; Sterculinic acid"
262,19:2,Nonadecadienoic acid; structure ambiguous: double bond position and configuration not specified
263,"12-OH-18:2-delta-9c,15c","9,15-Octadecadienoic acid, 12-hydroxy-, (Z,Z)-; Densipolic acid; Densipolic acid, 12-hydroxy-cis-9,cis-15-octadecadienoic acid"
264,Epoxy-18:1,Epoxyoctadecenoic acid; structure ambiguous
265,OH-18:2,Hydroxyoctadecadienoic acid; structure ambiguous
266,19:1,Nonadecenoic acid; structure ambiguous
267,"9,10-O-18:1-delta-12c","2-Oxiraneoctanoic acid, 3-(2Z)-2-octen-1-yl-, (2R,3S)-; Coronaric acid; Coronaric acid; Oxiraneoctanoic acid, 3-(2-octenyl)-, [2R-[2-alpha-,3-alpha-(Z)]]-; Oxiraneoctanoic acid, 3-(2Z)-2-octenyl-, (2R,3S..."
268,12-OH-18:1-delta-9a,"9-Octadecynoic acid, 12-hydroxy-; Stearolic acid, 12-hydroxy-; 12-Hydroxy-9-octadecynoic acid; Ricinstearolic acid"
269,"S-13-OH-18:2-delta-9c,11t","9,11-Octadecadienoic acid, 13-hydroxy-, (9Z,11E,13S)-; 9,11-Octadecadienoic acid, 13-hydroxy-, (E,Z)-(S)-; 9,11-Octadecadienoic acid, 13-hydroxy-, [S-(E,Z)]-; (+)-Coriolic acid; (13S,9Z,11E)-13-Hydroxy-..."
270,"S-9-OH-18:2-delta-10t,12c","10,12-Octadecadienoic acid, 9-hydroxy-, (9R,10E,12Z)-; 10,12-Octadecadienoic acid, 9-hydroxy-, (E,Z)-(+)-; 10,12-Octadecadienoic acid, 9-hydroxy-, [R-(E,Z)]-; 9R-HODE"
271,7-O=18:1-delta-11c,"11-Octadecenoic acid, 7-oxo-, (Z)-"
272,"12,13-O-18:1-delta-9c","9-Undecenoic acid, 11-[(2S,3R)-3-pentyl-2-oxiranyl]-, (9Z)-; Vernolic acid; 9-Undecenoic acid, 11-(3-pentyloxiranyl)-, [2S-[2α(Z),3α]]-; 9-Undecenoic acid, 11-[(2S,3R)-3-pentyloxiranyl]-, (9Z)-; Oleic acid, 1..."
273,"12,13-O-18:1-delta-9t","9-Undecenoic acid, 11-[(2R,3S)-3-pentyloxiranyl]-, (9E)-rel-; 9-Undecenoic acid, 11-(3-pentyloxiranyl)-, [2-alpha-(E),3-alpha-]-; (?)-cis-12,13-Epoxy-9(E)-octadecenoic acid; trans-Vernolic acid"
274,"9-OH-18:2-delta-10t,12t","10,12-Octadecadienoic acid, 9-hydroxy-; 9-Hydroxy-10,12-octadecadienoic acid; Dimorphecolic acid"
275,13-O=18:1-delta-9t,"9-Octadecenoic acid, 13-oxo-, (E)- (8CI); 13-Oxo-trans-9-octadecenoic acid"
276,9-O=18:1-delta-12c,"12-Octadecenoic acid, 9-oxo-, (12Z)-; 12-Octadecenoic acid, 9-oxo-, (Z)-"
277,"2-OH-18:2-delta-9c,12c","9,12-Octadecadienoic acid, 2-hydroxy-, (9Z,12Z)-; 9,12-Octadecadienoic acid, 2-hydroxy-, (Z,Z)-; -alpha--Hydroxylinoleic acid"
278,"9,10-cpa-19:0","Cyclopropaneoctanoic acid, 2-octyl-, (1R,2S)-rel-; Dihydrosterculic acid; Cyclopropaneoctanoic acid, 2-octyl-, cis-; Dihydrosterculic acid; cis-9,10-Methylenooctadecanoic acid"
279,19:1-delta-5c,"5-Nonadecenoic acid, (5Z)-"
280,19:1-delta-10,10-Nonadecenoic acid; structure ambiguous: double bond configuration not specified
281,19:1-delta-9,9-Nonadecenoic acid; structure ambiguous: double bond configuration not specified
282,19:1-delta-11,11-Nonadecenoic acid; structure ambiguous: double bond configuration not specified
283,OH-18:1,Hydroxyoctadecenoic acid; structure ambiguous
284,"18-F-18:2-delta-9c,12c","9,12-Octadecadienoic acid, 18-fluoro-, (9Z,12Z)-; 9,12-Octadecadienoic acid, 18-fluoro-, (Z,Z)-"
285,"9,10-O-18:0","Oxiraneoctanoic acid, 3-octyl-, (2R,3S)-; Octadecanoic acid, 9,10-epoxy-, L-cis-; Oxiraneoctanoic acid, 3-octyl-, (2R-cis)-; cis-9-L,10-Epoxyoctadecanoic acid"
286,12-OH-18:1-delta-9c,"9-Octadecenoic acid, 12-hydroxy-, (9Z,12R)-; Ricinoleic acid; 9-Octadecenoic acid, 12-hydroxy-, [R-(Z)]-; Ricinoleic acid; (9Z,12R)-12-Hydroxyoctadec-9-enoic acid; (R)-12-Hydroxyoleic acid; 12..."
287,9-OH-18:1-delta-12c,"12-Octadecenoic acid, 9-hydroxy-, (9S,12Z)-; Isoricinoleic acid, Strophanthus acid; 12-Octadecenoic acid, 9-hydroxy-, (Z)-D-; Isoricinoleic acid; Strophanthus acid"
288,2-OH-18:1-delta-9c,"9-Octadecenoic acid, 2-hydroxy-, (9Z)-; 9-Octadecenoic acid, 2-hydroxy-, (Z)-; (Z)-2-Hydroxyoctadec-9-enoic acid; 2-Hydroxyoleic acid; Minerval; cis-2-Hydroxy-9-octadecenoic acid; -alpha-..."
289,i-19:0,"Octadecanoic acid, 17-methyl-; 17-Methyloctadecanoic acid; 17-Methylstearic acid; i19:0"
290,19:0,Nonadecanoic acid; NSC 11914; n-Nonadecanoic acid; n-Nonadecylic acid
291,11-Me-18:0,"Octadecanoic acid, 11-methyl-; 11-methyloctadecanoic acid;11-methyl-octadecanoic acid;79605-28-0;AC1NSMFY;Octadecanoic acid, 11-methyl-"
292,16-Me-18:0,"Octadecanoic acid, 16-methyl-; 16-methyloctadecanoic acid;Anteisononadecanoic acid;16-methyl-octadecanoic acid;(+)-16-methyl stearic acid;"
293,18-F-18:1-delta-9c,"9-Octadecenoic acid, 18-fluoro-, (Z)-; Oleic acid, 18-fluoro-"
294,9-OH-18:0,"Octadecanoic acid, 9-hydroxy-; 9-Hydroxyoctadecanoic acid; 9-Hydroxystearic acid"
295,4-OH-18:0,"Octadecanoic acid, 4-hydroxy-"
296,6-OH-18:0,"Octadecanoic acid, 6-hydroxy-"
297,20:5,Eicosapentaenoic acid; structure ambiguous
298,"20:3-delta-5c,11c,14c","5,11,14-Eicosatrienoic Acid, (Z,Z,Z)-; Podocarpic acid; Podocarpic acid; Sciadonic acid; Calthic acid; (5Z,11Z,­14Z)‑icosa-5,11,14‑tri­enoic acid"
299,"20:5-delta-5c,8c,11c,14c,17c","5,8,11,14,17-Eicosapentaenoic acid, (5Z,8Z,11Z,14Z,17Z)-; 5,8,11,14,17-Eicosapentaenoic acid; 5,8,11,14,17-Eicosapentaenoic acid, (all-Z)-; (5Z,8Z,11Z,14Z,17Z)-Eicosa-5,8,11,14,17-pentaenoic acid; (5Z,8Z,1..."
300,18-F-18:0,"Octadecanoic acid, 18-fluoro-"
301,20:4,Eicosatetraenoic acid; structure ambiguous
302,"20:4-delta-5c,8c,11c,14c","5,8,11,14-Eicosatetraenoic acid, (5Z,8Z,11Z,14Z)-; Arachidonic acid; 5,8,11,14-Eicosatetraenoic acid, (all-Z)-; Arachidonic acid"
303,"20:4-delta-5c,11c,14c,17c","5,11,14,17-Eicosatetraenoic acid, (5Z,11Z,14Z,17Z)-; Juniperonic acid; 5,11,14,17-Eicosatetraenoic acid, (all-Z)-; (all-Z)-5,11,14,17-Eicosatetraenoic acid; 5Z,11Z,14Z,17Z-Eicosatetraenoic acid; Junip..."
304,"20:4-delta-8c,11c,14c,17c","8,11,14,17-Eicosatetraenoic acid, (8Z,11Z,14Z,17Z)-; 8,11,14,17-Eicosatetraenoic acid, (all-Z)-; (all-Z)-8,11,14,17-Eicosatetraenoic acid; Bishomostearidonic acid; -delta-8,11,14,17-Eicosatetraenoic acid"
305,20:3,Icosatrienoic acid; structure ambiguous
306,"8-OH-18:3-delta-9a,11t,17","11,17-Octadecadien-9-ynoic acid, 8-hydroxy-, methyl ester, (E)- (8CI)"
307,"20:3-delta-8c,11c,14c","8,11,14-Eicosatrienoic acid, (8Z,11Z,14Z)-; 8,11,14-Eicosatrienoic acid, (Z,Z,Z)-; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; 8,11,14-Eicosatrienoic acid; 8,11,14-all-cis-Eicosatrienoic acid; 8Z,11..."
308,"20:3-delta-11c,14c,17c","11,14,17-Eicosatrienoic acid, (11Z,14Z,17Z)-; 11,14,17-Eicosatrienoic acid, (Z,Z,Z)-; (Z,Z,Z)-11,14,17-Eicosatrienoic acid; (all-cis)-11,14,17-Eicosatrienoic acid; (all-cis)--delta-11,14,17-Eic..."
309,20:2cy-delta-8c,"8-Pentadecenoic acid, 15-(2-cyclopenten-1-yl)-, (8Z)-; Oncobic acid"
310,20:2cy,"9-Pentadecenoic acid, 15-(2-cyclopenten-1-yl)-; 15-cyclopent-2-en-1-ylpentadec-9-enoic acid"
311,"20:3-delta-7c,11c,14c","7,11,14-Eicosatrienoic acid, (7Z,11Z,14Z)-; Dihomopinolenic acid; 7,11,14-Eicosatrienoic acid, (Z,Z,Z)-; Dihomopinolenic acid"
312,"20:3-delta-5c,9c,12c","5,9,12-Eicosatrienoic acid, (5Z,9Z,12Z)-; 5,9,12-Eicosatrienoic acid, (Z,Z,Z)-"
313,"20:3-delta-3c,6c,9c","3,6,9-Eicosatrienoic acid, (3Z,6Z,9Z)-; N/A"
314,20:2cy-delta-9c,"9-Pentadecenoic acid, 15-(2-cyclopenten-1-yl)-, (Z)-; N/A"
315,"20:3-delta-7,10,13","7,10,13-Eicosatrienoic acid; structure ambiguous: double bond configuration not specified"
316,"20:3-delta-11,14,17","11,14,17-Eicosatrienoic acid; structure ambiguous: double bond configuration not specified"
317,20:2,Icosadienoic acid; structure ambiguous
318,"20:2-delta-11c,14c","11,14-Eicosadienoic acid, (11Z,14Z)-"
319,"20:2-delta-6,11","6,11-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
320,"20:2-delta-10,13","10,13-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
321,"20:2-delta-13,16","13,16-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
322,"20:2-delta-9,12","9,12-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
323,"20:2-delta-8,11","8,11-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
324,"20:2-delta-7,13","7,13-Eicosadienoic acid; structure ambiguous: double bond configuration not specified"
325,20:2,Eicosadienoic acid; Structure ambiguous
326,"9,12-O-18:2-delta-9,11","2-Furanoctanoic acid, 5-hexyl-, methyl ester; Methyl 5-hexylfuran-2-octanoate; Methyl 8-(5-hexylfuran-2-yl)octanoate; Furocarpic acid"
327,"20:2-delta-5c,11c","5,11-Eicosadienoic acid, (5Z,11Z)-; 5,11-Eicosadienoic acid, (Z,Z)-; (5Z,11Z)-5,11-Eicosadienoic acid; (5Z,11Z)-Eicosadienoic acid; (Z,Z)-5,11-Eicosadienoic acid; Keteleeronic acid; a..."
328,"20:2-delta-7,8allene","7,8-Eicosadienoic acid; Phlomic acid; Phlomic acid"
329,20:1cy,"2-Cyclopentene-1-pentadecanoic acid, (+)-; Hormelic acid; Hormelic acid; NSC 313952"
330,20:1-delta-6a,6-Eicosynoic acid
331,"20:2-delta-7c,11c","7,11-Eicosadienoic acid, (7Z,11Z)-; 7,11-Eicosadienoic acid, (Z,Z)-; Dihomotaxoleic acid"
332,"20:2-delta-6c,9c","6,9-Eicosadienoic acid, (6Z,9Z)-; 6,9-Eicosadienoic acid, (Z,Z)-"
333,"20:2-delta-11,13","11,13-Eicosadienoic acid; structure ambiguous; icosa-11,13-dienoic acid"
334,20:1,Icosenoic acid; structure ambiguous
335,"12RS,13SR-O-18:1-delta-9","9-Undecenoic acid, 11-[(2R,3R)-3-pentyl-2-oxiranyl]-, (9Z)-rel-; cis-12,13-Epoxyoleic acid; (+/-)-Vernolic acid"
336,"2-OH-9,10-cpe-19:1",2-hydroxy-8-(2-octylcycloprop-1-en-1-yl)octanoic acid
337,14-O=19:1-delta-10,"10-Nonadecenoic acid, 14-keto-; structure ambiguous: double bond configuration not specified"
338,20:1-delta-9c,"9-Eicosenoic acid, (9Z)-; Gadoleic acid; 9-Eicosenoic acid, (Z)-; Gadoleic acid; (Z)-9-Eicosenoic acid; Gondoleic acid; cis-9-Eicosenoic acid"
339,20:1-delta-11c,"11-Eicosenoic acid, (11Z)-; 11-Eicosenoic acid, (Z)-; (Z)-11-Eicosenoic acid; 11-cis-Eicosenoic acid; 11Z-Eicosenoic acid; Gondoic acid; cis-11-Eicosenoic acid; cis--delta-11-..."
340,20:1-delta-13c,"13-Eicosenoic acid, (13Z)-; Paullinic acid; 13-Eicosenoic acid, (Z)-; (Z)-13-Eicosaenoic acid; (Z)-13-Eicosenoic acid; Paullinic acid; cis-13-Eicosenoic acid"
341,20:1-delta-15c,"15-Eicosenoic acid, (15Z)-; 15-Eicosenoic acid, (Z)-; (Z)-15-Eicosenoic acid"
342,20:1-delta-5c,"5-​Eicosenoic acid, (5Z)-; N/A"
343,20:1-delta-6c,"6-Eicosenoic acid, (6Z)-; 6-Eicosenoic acid, (Z)-"
344,20:1-delta-14c,"14-Eicosenoic acid, (14Z)-; 14-Eicosenoic acid, (Z)-"
345,20:1-delta-8c,"8-Eicosenoic acid, (8Z)-; 8-Eicosenoic acid, (Z)-; 8-cis-Eicosenoic acid"
346,20:1-delta-10c,"10-Eicosenoic acid, (10Z)-"
347,20:1-delta-7,7-Eicosenoic acid; structure ambiguous: double bond configuration not specified
348,,"3,7,11,15-tetramethylhexadec-2-enoic acid; Phytenic acid; Phytenic acid; Phytenoic Acid; 2E-Phytenoic acid; Delta2-Phytenic acid; 3,7R,11R,15-tetramethyl-2E-hexadecenoic acid; 3,7,11,15-tetr..."
349,18-Me-19:0,"Nonadecanoic acid, 18-methyl-; Isoarachidic acid; 18-METHYLNONADECANOIC ACID;"
350,20:0,Eicosanoic acid; Arachidic acid; Arachic acid; Arachidic acid; Icosanoic acid; NSC 93983; n-Eicosanic acid; n-Eicosanoic acid
351,11-Me-19:0,"Nonadecanoic acid, 11-methyl-"
352,"12,13-di-OH-18:1-delta-9c","9-Octadecenoic acid, 12,13-dihydroxy-, (9Z,12S,13S)-; 9-Octadecenoic acid, 12,13-dihydroxy-, [S-[R*,R*-(Z)]]-; Oleic acid, 12,13-dihydroxy-, (12S,13S)-(-)-; (-)-threo-12,13-Dihydroxyoleic acid"
353,"18-F-9,10-O-18:0","18-Fluoro-9,10-Epoxyoctadecanoic acid"
354,"R9,R10-di-OH-18:0","Octadecanoic acid, 9,10-dihydroxy-, (9R,10R)-; Octadecanoic acid, 9,10-dihydroxy-, [R-(R*,R*)]-; Octadecanoic acid, 9,10-dihydroxy-, threo-(+)-; (+)-Threo-9,10-Dihydroxystearic acid"
355,"9,10-di-OH-18:0","Octadecanoic acid, 9,10-dihydroxy-"
356,15-Ph-15:1-cis9,"9-​Pentadecenoic acid, 15-​phenyl-​, (9Z)​-; 15-phenylpentadec-9-enoic acid"
357,"13,14-di-OH-18:0	","Octadecanoic acid, 13,14-dihydroxy-"
358,21:4,Heneicosatetraenoic acid; structure ambiguous: double bond configuration and position not specified
